"category_id","category","recipe_id"
"1072","퓨전","1001740"
"1073","퓨전","1001741"
"1074","퓨전","1001742"
"1075","퓨전","1001743"
"1076","한식","1001744"
"1077","한식","1001745"
"1078","한식","1001746"
"1079","한식","1001747"
"1080","한식","1001748"
"1081","한식","1001749"
"1082","한식","1001750"
"1083","한식","1001751"
"1084","한식","1001752"
"1085","한식","1001753"
"1086","한식","1001754"
"1087","한식","1001755"
"1088","한식","1001756"
"1089","한식","1001757"
"1090","한식","1001758"
"1091","한식","1001759"
"1092","한식","1001760"
"1093","한식","1001761"
"1094","한식","1001762"
"1095","한식","1001763"
"1096","한식","1001764"
"1097","한식","1001765"
"1098","한식","1001766"
"1099","한식","1001767"
"1100","한식","1001768"
"1101","한식","1001769"
"1102","한식","1001770"
"1103","한식","1001771"
"1104","한식","1001772"
"1105","한식","1001773"
"1106","한식","1001774"
"1107","한식","1001775"
"1108","한식","1001776"
"1109","한식","1001777"
"1110","한식","1001778"
"1111","한식","1001779"
"1112","한식","1001780"
"1113","한식","1001781"
"1114","한식","1001782"
"1115","한식","1001783"
"1116","한식","1001784"
"1117","한식","1001785"
"1118","한식","1001786"
"1119","한식","1001787"
"1120","한식","1001788"
"1121","한식","1001789"
"1122","한식","1001790"
"1123","한식","1001791"
"1124","한식","1001792"
"1125","한식","1001793"
"1126","한식","1001794"
"1127","한식","1001795"
"1128","양식","1001796"
"1129","양식","1001797"
"1130","양식","1001798"
"1131","양식","1001799"
"1132","양식","1001800"
"1133","양식","1001801"
"1134","일식","1001802"
"1135","일식","1001803"
"1136","이탈리아","1001804"
"1137","퓨전","1001805"
"1138","퓨전","1001806"
"1139","퓨전","1001807"
"1140","퓨전","1001808"
"1141","퓨전","1001809"
"1142","퓨전","1001810"
"1143","퓨전","1001811"
"1144","퓨전","1001812"
"1145","퓨전","1001813"
"1146","한식","1001814"
"1147","한식","1001815"
"1148","한식","1001816"
"1149","한식","1001817"
"1150","한식","1001818"
"1151","한식","1001819"
"1152","한식","1001820"
"1153","한식","1001821"
"1154","한식","1001822"
"1155","한식","1001823"
"1156","한식","1001824"
"1157","한식","1001825"
"1158","한식","1001826"
"1159","한식","1001827"
"1160","한식","1001828"
"1161","한식","1001829"
"1162","한식","1001830"
"1163","한식","1001831"
"1164","한식","1001832"
"1165","한식","1001833"
"1166","한식","1001834"
"1167","한식","1001835"
"1168","한식","1001836"
"1169","한식","1001837"
"1170","한식","1001838"
"1171","한식","1001839"
"1172","한식","1001840"
"1173","한식","1001841"
"1174","한식","1001842"
"1175","한식","1001843"
"1176","한식","1001844"
"1177","한식","1001845"
"1178","한식","1001846"
"1179","한식","1001847"
"1180","한식","1001848"
"1181","한식","1001849"
"1182","한식","1001850"
"1183","한식","1001851"
"1184","한식","1001852"
"1185","한식","1001853"
"1186","한식","1001854"
"1187","한식","1001855"
"1188","한식","1001856"
"1189","한식","1001857"
"1190","한식","1001858"
"1191","한식","1001859"
"1192","한식","1001860"
"1193","한식","1001861"
"1194","한식","1001862"
"1195","한식","1001863"
"1196","한식","1001864"
"1197","한식","1001865"
"1198","한식","1001866"
"1199","한식","1001867"
"1200","한식","1001868"
"1201","한식","1001869"
"1202","한식","1001870"
"1203","한식","1001871"
"1204","한식","1001872"
"1205","한식","1001873"
"1206","한식","1001874"
"1207","한식","1001875"
"1208","한식","1001876"
"1209","한식","1001877"
"1210","한식","1001878"
"1211","한식","1001879"
"1212","한식","1001880"
"1213","양식","1001881"
"1214","양식","1001882"
"1215","양식","1001883"
"1216","양식","1001884"
"1217","양식","1001885"
"1218","양식","1001886"
"1219","양식","1001887"
"1220","양식","1001888"
"1221","양식","1001889"
"1222","양식","1001890"
"1223","양식","1001891"
"1224","양식","1001892"
"1225","양식","1001893"
"1226","양식","1001894"
"1227","양식","1001895"
"1228","양식","1001896"
